"S21 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.520171e+002,
3001562500, 1.502286e+002,
3003125000, 1.484510e+002,
3004687500, 1.471636e+002,
3006250000, 1.454800e+002,
3007812500, 1.433338e+002,
3009375000, 1.415273e+002,
3010937500, 1.401453e+002,
3012500000, 1.381933e+002,
3014062500, 1.366022e+002,
3015625000, 1.345710e+002,
3017187500, 1.329456e+002,
3018750000, 1.311127e+002,
3020312500, 1.295018e+002,
3021875000, 1.273548e+002,
3023437500, 1.253041e+002,
3025000000, 1.238013e+002,
3026562500, 1.216322e+002,
3028125000, 1.199332e+002,
3029687500, 1.177394e+002,
3031250000, 1.158941e+002,
3032812500, 1.141315e+002,
3034375000, 1.117329e+002,
3035937500, 1.098319e+002,
3037500000, 1.082715e+002,
3039062500, 1.058270e+002,
3040625000, 1.036550e+002,
3042187500, 1.015195e+002,
3043750000, 9.953738e+001,
3045312500, 9.726473e+001,
3046875000, 9.560640e+001,
3048437500, 9.344995e+001,
3050000000, 9.113121e+001,
3051562500, 8.903109e+001,
3053125000, 8.698801e+001,
3054687500, 8.499498e+001,
3056250000, 8.263744e+001,
3057812500, 7.992644e+001,
3059375000, 7.819612e+001,
3060937500, 7.572458e+001,
3062500000, 7.355655e+001,
3064062500, 7.145644e+001,
3065625000, 6.893589e+001,
3067187500, 6.684505e+001,
3068750000, 6.463809e+001,
3070312500, 6.235528e+001,
3071875000, 5.989842e+001,
3073437500, 5.744562e+001,
3075000000, 5.542236e+001,
3076562500, 5.340147e+001,
3078125000, 5.104411e+001,
3079687500, 4.898264e+001,
3081250000, 4.680853e+001,
3082812500, 4.431455e+001,
3084375000, 4.216868e+001,
3085937500, 4.001154e+001,
3087500000, 3.773019e+001,
3089062500, 3.573012e+001,
3090625000, 3.377573e+001,
3092187500, 3.168393e+001,
3093750000, 2.944567e+001,
3095312500, 2.767712e+001,
3096875000, 2.593530e+001,
3098437500, 2.336728e+001,
3100000000, 2.145270e+001,
3101562500, 1.899170e+001,
3103125000, 1.673191e+001,
3104687500, 1.472089e+001,
3106250000, 1.259841e+001,
3107812500, 1.058466e+001,
3109375000, 8.406219e+000,
3110937500, 5.980251e+000,
3112500000, 4.134128e+000,
3114062500, 1.628458e+000,
3115625000, -1.502878e-001,
3117187500, -2.945930e+000,
3118750000, -5.005304e+000,
3120312500, -7.270864e+000,
3121875000, -9.038192e+000,
3123437500, -1.096009e+001,
3125000000, -1.328010e+001,
3126562500, -1.535069e+001,
3128125000, -1.761509e+001,
3129687500, -1.918684e+001,
3131250000, -2.141378e+001,
3132812500, -2.369079e+001,
3134375000, -2.596648e+001,
3135937500, -2.817874e+001,
3137500000, -3.015398e+001,
3139062500, -3.282289e+001,
3140625000, -3.492430e+001,
3142187500, -3.687641e+001,
3143750000, -3.863781e+001,
3145312500, -4.133019e+001,
3146875000, -4.335596e+001,
3148437500, -4.598589e+001,
3150000000, -4.750982e+001,
3151562500, -5.013950e+001,
3153125000, -5.185299e+001,
3154687500, -5.463685e+001,
3156250000, -5.644005e+001,
3157812500, -5.888462e+001,
3159375000, -6.095270e+001,
3160937500, -6.360100e+001,
3162500000, -6.532053e+001,
3164062500, -6.812907e+001,
3165625000, -6.979357e+001,
3167187500, -7.270193e+001,
3168750000, -7.431984e+001,
3170312500, -7.748591e+001,
3171875000, -7.918658e+001,
3173437500, -8.144389e+001,
3175000000, -8.373209e+001,
3176562500, -8.626373e+001,
3178125000, -8.840390e+001,
3179687500, -9.086533e+001,
3181250000, -9.248590e+001,
3182812500, -9.528797e+001,
3184375000, -9.737849e+001,
3185937500, -9.950544e+001,
3187500000, -1.019079e+002,
3189062500, -1.039844e+002,
3190625000, -1.067985e+002,
3192187500, -1.081250e+002,
3193750000, -1.109570e+002,
3195312500, -1.125147e+002,
3196875000, -1.152640e+002,
3198437500, -1.168348e+002,
3200000000, -1.192700e+002,
3201562500, -1.215437e+002,
3203125000, -1.236294e+002,
3204687500, -1.257836e+002,
3206250000, -1.276735e+002,
3207812500, -1.304479e+002,
3209375000, -1.319372e+002,
3210937500, -1.344735e+002,
3212500000, -1.359047e+002,
3214062500, -1.379756e+002,
3215625000, -1.400073e+002,
3217187500, -1.415219e+002,
3218750000, -1.440166e+002,
3220312500, -1.453486e+002,
3221875000, -1.479137e+002,
3223437500, -1.493078e+002,
3225000000, -1.511925e+002,
3226562500, -1.536036e+002,
3228125000, -1.545675e+002,
3229687500, -1.573357e+002,
3231250000, -1.588278e+002,
3232812500, -1.606979e+002,
3234375000, -1.627323e+002,
3235937500, -1.635439e+002,
3237500000, -1.660080e+002,
3239062500, -1.669954e+002,
3240625000, -1.693140e+002,
3242187500, -1.711420e+002,
3243750000, -1.721767e+002,
3245312500, -1.750783e+002,
3246875000, -1.760962e+002,
3248437500, -1.773412e+002,
3250000000, 1.798747e+002,
3251562500, 1.790454e+002,
3253125000, 1.764666e+002,
3254687500, 1.750649e+002,
3256250000, 1.740542e+002,
3257812500, 1.711401e+002,
3259375000, 1.702572e+002,
3260937500, 1.684797e+002,
3262500000, 1.661164e+002,
3264062500, 1.655844e+002,
3265625000, 1.625921e+002,
3267187500, 1.610564e+002,
3268750000, 1.601551e+002,
3270312500, 1.571964e+002,
3271875000, 1.563725e+002,
3273437500, 1.544477e+002,
3275000000, 1.519256e+002,
3276562500, 1.511880e+002,
3278125000, 1.485041e+002,
3279687500, 1.463477e+002,
3281250000, 1.456953e+002,
3282812500, 1.425696e+002,
3284375000, 1.415089e+002,
3285937500, 1.402525e+002,
3287500000, 1.369434e+002,
3289062500, 1.362302e+002,
3290625000, 1.337458e+002,
3292187500, 1.313034e+002,
3293750000, 1.304807e+002,
3295312500, 1.281997e+002,
3296875000, 1.255624e+002,
3298437500, 1.253334e+002,
3300000000, 1.220882e+002,
3301562500, 1.198184e+002,
3303125000, 1.189566e+002,
3304687500, 1.159835e+002,
3306250000, 1.130759e+002,
3307812500, 1.132723e+002,
3309375000, 1.094105e+002,
3310937500, 1.071750e+002,
3312500000, 1.068844e+002,
3314062500, 1.029697e+002,
3315625000, 1.011403e+002,
3317187500, 1.003010e+002,
3318750000, 9.716136e+001,
3320312500, 9.416819e+001,
3321875000, 9.444019e+001,
3323437500, 9.025169e+001,
3325000000, 8.847986e+001,
3326562500, 8.787126e+001,
3328125000, 8.405949e+001,
3329687500, 8.193300e+001,
3331250000, 8.133912e+001,
3332812500, 7.851970e+001,
3334375000, 7.463053e+001,
3335937500, 7.499441e+001,
3337500000, 7.197597e+001,
3339062500, 6.867093e+001,
3340625000, 6.844901e+001,
3342187500, 6.608843e+001,
3343750000, 6.188709e+001,
3345312500, 6.146155e+001,
3346875000, 5.954375e+001,
3348437500, 5.499384e+001,
3350000000, 5.398160e+001,
3351562500, 5.299852e+001,
3353125000, 4.865155e+001,
3354687500, 4.627966e+001,
3356250000, 4.650149e+001,
3357812500, 4.210384e+001,
3359375000, 3.909566e+001,
3360937500, 3.852797e+001,
3362500000, 3.669496e+001,
3364062500, 3.178788e+001,
3365625000, 3.144951e+001,
3367187500, 3.042985e+001,
3368750000, 2.617241e+001,
3370312500, 2.347261e+001,
3371875000, 2.448010e+001,
3373437500, 2.016072e+001,
3375000000, 1.662715e+001,
3376562500, 1.639737e+001,
3378125000, 1.501267e+001,
3379687500, 9.786274e+000,
3381250000, 8.470136e+000,
3382812500, 8.650125e+000,
3384375000, 4.828223e+000,
3385937500, 9.770907e-001,
3387500000, 1.743348e+000,
3389062500, -8.780961e-001,
3390625000, -5.668221e+000,
3392187500, -6.648262e+000,
3393750000, -6.538739e+000,
3395312500, -1.026396e+001,
3396875000, -1.436587e+001,
3398437500, -1.371117e+001,
3400000000, -1.493242e+001,
3401562500, -2.017680e+001,
3403125000, -2.218269e+001,
3404687500, -2.111460e+001,
