"S12 Phase"
"Frequency (Hz)","Deg",
3000000000, 1.605909e+002,
3001562500, 1.587161e+002,
3003125000, 1.568636e+002,
3004687500, 1.552263e+002,
3006250000, 1.529082e+002,
3007812500, 1.513947e+002,
3009375000, 1.496040e+002,
3010937500, 1.475896e+002,
3012500000, 1.458378e+002,
3014062500, 1.440931e+002,
3015625000, 1.420029e+002,
3017187500, 1.402680e+002,
3018750000, 1.382404e+002,
3020312500, 1.365639e+002,
3021875000, 1.343244e+002,
3023437500, 1.329410e+002,
3025000000, 1.309482e+002,
3026562500, 1.286211e+002,
3028125000, 1.267072e+002,
3029687500, 1.249071e+002,
3031250000, 1.226135e+002,
3032812500, 1.208087e+002,
3034375000, 1.185950e+002,
3035937500, 1.167416e+002,
3037500000, 1.146365e+002,
3039062500, 1.123147e+002,
3040625000, 1.103833e+002,
3042187500, 1.081171e+002,
3043750000, 1.061523e+002,
3045312500, 1.041014e+002,
3046875000, 1.020407e+002,
3048437500, 9.975938e+001,
3050000000, 9.774012e+001,
3051562500, 9.557843e+001,
3053125000, 9.346634e+001,
3054687500, 9.106041e+001,
3056250000, 8.881128e+001,
3057812500, 8.678158e+001,
3059375000, 8.473714e+001,
3060937500, 8.228590e+001,
3062500000, 8.009235e+001,
3064062500, 7.776890e+001,
3065625000, 7.552389e+001,
3067187500, 7.345227e+001,
3068750000, 7.128354e+001,
3070312500, 6.908155e+001,
3071875000, 6.684023e+001,
3073437500, 6.467949e+001,
3075000000, 6.276151e+001,
3076562500, 6.031144e+001,
3078125000, 5.804168e+001,
3079687500, 5.580564e+001,
3081250000, 5.373645e+001,
3082812500, 5.150474e+001,
3084375000, 4.925355e+001,
3085937500, 4.727852e+001,
3087500000, 4.509548e+001,
3089062500, 4.290472e+001,
3090625000, 4.104603e+001,
3092187500, 3.924203e+001,
3093750000, 3.686335e+001,
3095312500, 3.470458e+001,
3096875000, 3.279080e+001,
3098437500, 3.066376e+001,
3100000000, 2.862697e+001,
