Tiempo,Oscilador,Salida
87.24,3622500000,18446744073709551615
87.36,3623000000,18446744073709551615
87.47,3623500000,18446744073709551615
87.59,3624000000,18446744073709551615
87.7,3624500000,18446744073709551615
87.82,3625000000,18446744073709551615
87.93,3625500000,18446744073709551615
88.05,3626000000,18446744073709551615
88.16,3626500000,18446744073709551615
88.28,3627000000,18446744073709551615
88.39,3627500000,18446744073709551615
88.51,3628000000,18446744073709551615
88.62,3628500000,18446744073709551615
88.74,3629000000,18446744073709551615
88.85,3629500000,18446744073709551615
88.97,3630000000,18446744073709551615
89.08,3630500000,18446744073709551615
89.2,3631000000,18446744073709551615
89.31,3631500000,18446744073709551615
89.43,3632000000,18446744073709551615
89.54,3632500000,18446744073709551615
89.66,3633000000,18446744073709551615
89.77,3633500000,18446744073709551615
89.89,3634000000,18446744073709551615
90.0,3634500000,18446744073709551615
90.12,3635000000,18446744073709551615
90.23,3635500000,18446744073709551615
90.35,3636000000,18446744073709551615
90.46,3636500000,18446744073709551615
90.58,3637000000,18446744073709551615
90.69,3637500000,18446744073709551615
90.81,3638000000,18446744073709551615
90.93,3638500000,18446744073709551615
91.04,3639000000,18446744073709551615
91.16,3639500000,18446744073709551615
91.27,3640000000,18446744073709551615
91.39,3640500000,18446744073709551615
91.5,3641000000,18446744073709551615
91.62,3641500000,18446744073709551615
91.73,3642000000,18446744073709551615
91.85,3642500000,18446744073709551615
91.96,3643000000,18446744073709551615
92.08,3643500000,18446744073709551615
92.19,3644000000,18446744073709551615
92.31,3644500000,18446744073709551615
92.42,3645000000,18446744073709551615
92.54,3645500000,18446744073709551615
92.65,3646000000,18446744073709551615
92.77,3646500000,18446744073709551615
92.88,3647000000,18446744073709551615
93.0,3647500000,18446744073709551615
93.11,3648000000,18446744073709551615
93.23,3648500000,18446744073709551615
93.34,3649000000,18446744073709551615
93.46,3649500000,18446744073709551615
93.57,3650000000,18446744073709551615
93.69,3650500000,18446744073709551615
93.8,3651000000,18446744073709551615
93.92,3651500000,18446744073709551615
94.03,3652000000,18446744073709551615
94.15,3652500000,18446744073709551615
94.26,3653000000,18446744073709551615
94.38,3653500000,18446744073709551615
94.5,3654000000,18446744073709551615
94.61,3654500000,18446744073709551615
94.73,3655000000,18446744073709551615
94.84,3655500000,18446744073709551615
94.96,3656000000,18446744073709551615
95.07,3656500000,18446744073709551615
95.19,3657000000,18446744073709551615
95.3,3657500000,18446744073709551615
95.42,3658000000,18446744073709551615
95.53,3658500000,18446744073709551615
95.65,3659000000,18446744073709551615
95.76,3659500000,18446744073709551615
95.88,3660000000,18446744073709551615
95.99,3660500000,18446744073709551615
96.11,3661000000,18446744073709551615
96.22,3661500000,18446744073709551615
96.34,3662000000,18446744073709551615
96.45,3662500000,18446744073709551615
96.57,3663000000,18446744073709551615
96.68,3663500000,18446744073709551615
96.8,3664000000,18446744073709551615
96.91,3664500000,18446744073709551615
97.03,3665000000,18446744073709551615
97.14,3665500000,18446744073709551615
97.26,3666000000,18446744073709551615
97.37,3666500000,18446744073709551615
97.49,3667000000,18446744073709551615
97.6,3667500000,18446744073709551615
97.72,3668000000,18446744073709551615
97.83,3668500000,18446744073709551615
97.95,3669000000,18446744073709551615
98.06,3669500000,18446744073709551615
98.18,3670000000,18446744073709551615
98.29,3670500000,18446744073709551615
98.41,3671000000,18446744073709551615
98.53,3671500000,18446744073709551615
98.64,3672000000,18446744073709551615
98.76,3672500000,18446744073709551615
98.87,3673000000,18446744073709551615
98.99,3673500000,18446744073709551615
99.1,3674000000,18446744073709551615
99.22,3674500000,18446744073709551615
99.33,3675000000,18446744073709551615
99.45,3675500000,18446744073709551615
99.56,3676000000,18446744073709551615
99.68,3676500000,18446744073709551615
99.79,3677000000,18446744073709551615
99.91,3677500000,18446744073709551615
100.02,3678000000,18446744073709551615
100.14,3678500000,18446744073709551615
100.25,3679000000,18446744073709551615
100.37,3679500000,18446744073709551615
100.48,3680000000,18446744073709551615
100.6,3680500000,18446744073709551615
100.71,3681000000,18446744073709551615
100.83,3681500000,18446744073709551615
100.94,3682000000,18446744073709551615
101.06,3682500000,18446744073709551615
101.17,3683000000,18446744073709551615
101.29,3683500000,18446744073709551615
101.4,3684000000,18446744073709551615
101.52,3684500000,18446744073709551615
101.64,3685000000,18446744073709551615
101.75,3685500000,18446744073709551615
101.86,3686000000,18446744073709551615
101.98,3686500000,18446744073709551615
102.09,3687000000,18446744073709551615
102.21,3687500000,18446744073709551615
102.33,3688000000,18446744073709551615
102.44,3688500000,18446744073709551615
102.56,3689000000,18446744073709551615
102.67,3689500000,18446744073709551615
102.79,3690000000,18446744073709551615
102.9,3690500000,18446744073709551615
103.02,3691000000,18446744073709551615
103.13,3691500000,18446744073709551615
103.25,3692000000,18446744073709551615
103.36,3692500000,18446744073709551615
103.48,3693000000,18446744073709551615
103.59,3693500000,18446744073709551615
103.71,3694000000,18446744073709551615
103.82,3694500000,18446744073709551615
103.94,3695000000,18446744073709551615
104.05,3695500000,18446744073709551615
104.17,3696000000,18446744073709551615
104.28,3696500000,18446744073709551615
104.4,3697000000,18446744073709551615
104.51,3697500000,18446744073709551615
104.63,3698000000,18446744073709551615
104.74,3698500000,18446744073709551615
104.86,3699000000,18446744073709551615
104.97,3699500000,18446744073709551615
105.09,3700000000,18446744073709551615
105.2,3700500000,18446744073709551615
105.32,3701000000,18446744073709551615
105.43,3701500000,18446744073709551615
105.55,3702000000,18446744073709551615
105.67,3702500000,18446744073709551615
105.78,3703000000,18446744073709551615
105.89,3703500000,18446744073709551615
106.01,3704000000,18446744073709551615
106.13,3704500000,18446744073709551615
106.24,3705000000,18446744073709551615
106.36,3705500000,18446744073709551615
106.47,3706000000,18446744073709551615
106.59,3706500000,18446744073709551615
106.7,3707000000,18446744073709551615
106.82,3707500000,18446744073709551615
106.93,3708000000,18446744073709551615
107.05,3708500000,18446744073709551615
107.16,3709000000,18446744073709551615
107.28,3709500000,18446744073709551615
107.39,3710000000,18446744073709551615
107.51,3710500000,18446744073709551615
107.62,3711000000,18446744073709551615
107.74,3711500000,18446744073709551615
107.85,3712000000,18446744073709551615
107.97,3712500000,18446744073709551615
108.08,3713000000,18446744073709551615
108.2,3713500000,18446744073709551615
108.31,3714000000,18446744073709551615
108.43,3714500000,18446744073709551615
108.54,3715000000,18446744073709551615
108.66,3715500000,18446744073709551615
108.77,3716000000,18446744073709551615
108.89,3716500000,18446744073709551615
109.0,3717000000,18446744073709551615
109.12,3717500000,18446744073709551615
109.23,3718000000,18446744073709551615
109.35,3718500000,18446744073709551615
109.46,3719000000,18446744073709551615
109.58,3719500000,18446744073709551615
109.69,3720000000,18446744073709551615
109.81,3720500000,18446744073709551615
109.93,3721000000,18446744073709551615
110.04,3721500000,18446744073709551615
110.16,3722000000,18446744073709551615
110.27,3722500000,18446744073709551615
110.39,3723000000,18446744073709551615
110.5,3723500000,18446744073709551615
110.62,3724000000,18446744073709551615
110.73,3724500000,18446744073709551615
110.85,3725000000,18446744073709551615
110.96,3725500000,18446744073709551615
111.08,3726000000,18446744073709551615
111.19,3726500000,18446744073709551615
111.31,3727000000,18446744073709551615
111.42,3727500000,18446744073709551615
111.54,3728000000,18446744073709551615
111.65,3728500000,18446744073709551615
111.77,3729000000,18446744073709551615
111.88,3729500000,18446744073709551615
112.0,3730000000,18446744073709551615
112.11,3730500000,18446744073709551615
112.23,3731000000,18446744073709551615
112.34,3731500000,18446744073709551615
112.46,3732000000,18446744073709551615
112.57,3732500000,18446744073709551615
112.69,3733000000,18446744073709551615
112.81,3733500000,18446744073709551615
112.92,3734000000,18446744073709551615
113.03,3734500000,18446744073709551615
113.15,3735000000,18446744073709551615
113.26,3735500000,18446744073709551615
113.38,3736000000,18446744073709551615
113.5,3736500000,18446744073709551615
113.61,3737000000,18446744073709551615
113.73,3737500000,18446744073709551615
113.84,3738000000,18446744073709551615
113.96,3738500000,18446744073709551615
114.07,3739000000,18446744073709551615
114.19,3739500000,18446744073709551615
114.3,3740000000,18446744073709551615
114.42,3740500000,18446744073709551615
114.53,3741000000,18446744073709551615
114.65,3741500000,18446744073709551615
114.76,3742000000,18446744073709551615
114.88,3742500000,18446744073709551615
114.99,3743000000,18446744073709551615
115.11,3743500000,18446744073709551615
115.22,3744000000,18446744073709551615
115.34,3744500000,18446744073709551615
115.45,3745000000,18446744073709551615
115.57,3745500000,18446744073709551615
115.68,3746000000,18446744073709551615
115.8,3746500000,18446744073709551615
115.91,3747000000,18446744073709551615
116.03,3747500000,18446744073709551615
116.14,3748000000,18446744073709551615
116.26,3748500000,18446744073709551615
116.37,3749000000,18446744073709551615
116.49,3749500000,18446744073709551615
116.6,3750000000,18446744073709551615
116.72,3750500000,18446744073709551615
116.83,3751000000,18446744073709551615
116.95,3751500000,18446744073709551615
117.06,3752000000,18446744073709551615
117.18,3752500000,18446744073709551615
117.3,3753000000,18446744073709551615
117.41,3753500000,18446744073709551615
117.53,3754000000,18446744073709551615
117.64,3754500000,18446744073709551615
117.76,3755000000,18446744073709551615
117.87,3755500000,18446744073709551615
117.99,3756000000,18446744073709551615
118.1,3756500000,18446744073709551615
118.22,3757000000,18446744073709551615
118.33,3757500000,18446744073709551615
118.45,3758000000,18446744073709551615
118.56,3758500000,18446744073709551615
118.68,3759000000,18446744073709551615
118.79,3759500000,18446744073709551615
118.91,3760000000,18446744073709551615
119.02,3760500000,18446744073709551615
119.14,3761000000,18446744073709551615
119.25,3761500000,18446744073709551615
119.37,3762000000,18446744073709551615
119.48,3762500000,18446744073709551615
119.6,3763000000,18446744073709551615
119.71,3763500000,18446744073709551615
119.83,3764000000,18446744073709551615
119.94,3764500000,18446744073709551615
120.06,3765000000,18446744073709551615
120.17,3765500000,18446744073709551615
120.29,3766000000,18446744073709551615
120.4,3766500000,18446744073709551615
120.52,3767000000,18446744073709551615
120.64,3767500000,18446744073709551615
120.75,3768000000,18446744073709551615
120.86,3768500000,18446744073709551615
120.98,3769000000,18446744073709551615
121.1,3769500000,18446744073709551615
121.21,3770000000,18446744073709551615
121.33,3770500000,18446744073709551615
121.44,3771000000,18446744073709551615
121.56,3771500000,18446744073709551615
121.67,3772000000,18446744073709551615
121.79,3772500000,18446744073709551615
121.9,3773000000,18446744073709551615
122.02,3773500000,18446744073709551615
122.13,3774000000,18446744073709551615
122.25,3774500000,18446744073709551615
122.36,3775000000,18446744073709551615
122.48,3775500000,18446744073709551615
122.59,3776000000,18446744073709551615
122.71,3776500000,18446744073709551615
122.82,3777000000,18446744073709551615
122.94,3777500000,18446744073709551615
123.05,3778000000,18446744073709551615
123.17,3778500000,18446744073709551615
123.28,3779000000,18446744073709551615
123.4,3779500000,18446744073709551615
123.51,3780000000,18446744073709551615
123.63,3780500000,18446744073709551615
123.74,3781000000,18446744073709551615
123.86,3781500000,18446744073709551615
123.97,3782000000,18446744073709551615
124.09,3782500000,18446744073709551615
124.2,3783000000,18446744073709551615
124.32,3783500000,18446744073709551615
124.43,3784000000,18446744073709551615
124.55,3784500000,18446744073709551615
124.67,3785000000,18446744073709551615
124.78,3785500000,18446744073709551615
124.9,3786000000,18446744073709551615
125.01,3786500000,18446744073709551615
125.13,3787000000,18446744073709551615
125.24,3787500000,18446744073709551615
125.36,3788000000,18446744073709551615
125.47,3788500000,18446744073709551615
125.59,3789000000,18446744073709551615
125.7,3789500000,18446744073709551615
125.82,3790000000,18446744073709551615
125.93,3790500000,18446744073709551615
126.05,3791000000,18446744073709551615
126.16,3791500000,18446744073709551615
126.28,3792000000,18446744073709551615
126.39,3792500000,18446744073709551615
126.51,3793000000,18446744073709551615
126.62,3793500000,18446744073709551615
126.74,3794000000,18446744073709551615
126.85,3794500000,18446744073709551615
126.97,3795000000,18446744073709551615
127.08,3795500000,18446744073709551615
127.2,3796000000,18446744073709551615
127.31,3796500000,18446744073709551615
127.43,3797000000,18446744073709551615
127.54,3797500000,18446744073709551615
127.66,3798000000,18446744073709551615
127.78,3798500000,18446744073709551615
127.89,3799000000,18446744073709551615
128.0,3799500000,18446744073709551615
128.12,3800000000,18446744073709551615
128.24,3800500000,18446744073709551615
128.35,3801000000,18446744073709551615
128.46,3801500000,18446744073709551615
128.58,3802000000,18446744073709551615
128.7,3802500000,18446744073709551615
128.81,3803000000,18446744073709551615
128.93,3803500000,18446744073709551615
129.04,3804000000,18446744073709551615
129.16,3804500000,18446744073709551615
129.27,3805000000,18446744073709551615
129.39,3805500000,18446744073709551615
129.5,3806000000,18446744073709551615
129.62,3806500000,18446744073709551615
129.73,3807000000,18446744073709551615
129.85,3807500000,18446744073709551615
129.96,3808000000,18446744073709551615
130.08,3808500000,18446744073709551615
130.19,3809000000,18446744073709551615
130.31,3809500000,18446744073709551615
130.42,3810000000,18446744073709551615
130.54,3810500000,18446744073709551615
130.65,3811000000,18446744073709551615
130.77,3811500000,18446744073709551615
130.88,3812000000,18446744073709551615
131.0,3812500000,18446744073709551615
131.11,3813000000,18446744073709551615
131.23,3813500000,18446744073709551615
131.34,3814000000,18446744073709551615
131.46,3814500000,18446744073709551615
131.57,3815000000,18446744073709551615
131.69,3815500000,18446744073709551615
131.81,3816000000,18446744073709551615
131.92,3816500000,18446744073709551615
132.03,3817000000,18446744073709551615
132.15,3817500000,18446744073709551615
132.26,3818000000,18446744073709551615
132.38,3818500000,18446744073709551615
132.5,3819000000,18446744073709551615
132.61,3819500000,18446744073709551615
132.73,3820000000,18446744073709551615
132.84,3820500000,18446744073709551615
132.96,3821000000,18446744073709551615
133.07,3821500000,18446744073709551615
133.19,3822000000,18446744073709551615
133.3,3822500000,18446744073709551615
133.42,3823000000,18446744073709551615
133.53,3823500000,18446744073709551615
133.65,3824000000,18446744073709551615
133.76,3824500000,18446744073709551615
133.88,3825000000,18446744073709551615
133.99,3825500000,18446744073709551615
134.11,3826000000,18446744073709551615
134.22,3826500000,18446744073709551615
134.34,3827000000,18446744073709551615
134.45,3827500000,18446744073709551615
134.57,3828000000,18446744073709551615
134.68,3828500000,18446744073709551615
134.8,3829000000,18446744073709551615
134.91,3829500000,18446744073709551615
135.03,3830000000,18446744073709551615
135.14,3830500000,18446744073709551615
135.26,3831000000,18446744073709551615
135.37,3831500000,18446744073709551615
135.49,3832000000,18446744073709551615
135.6,3832500000,18446744073709551615
135.72,3833000000,18446744073709551615
135.84,3833500000,18446744073709551615
135.95,3834000000,18446744073709551615
136.07,3834500000,18446744073709551615
136.18,3835000000,18446744073709551615
136.3,3835500000,18446744073709551615
136.41,3836000000,18446744073709551615
136.53,3836500000,18446744073709551615
136.64,3837000000,18446744073709551615
136.76,3837500000,18446744073709551615
136.87,3838000000,18446744073709551615
136.99,3838500000,18446744073709551615
137.1,3839000000,18446744073709551615
137.22,3839500000,18446744073709551615
137.33,3840000000,18446744073709551615
137.45,3840500000,18446744073709551615
137.56,3841000000,18446744073709551615
137.68,3841500000,18446744073709551615
137.79,3842000000,18446744073709551615
137.91,3842500000,18446744073709551615
138.02,3843000000,18446744073709551615
138.14,3843500000,18446744073709551615
138.25,3844000000,18446744073709551615
138.37,3844500000,18446744073709551615
138.48,3845000000,18446744073709551615
138.6,3845500000,18446744073709551615
138.71,3846000000,18446744073709551615
138.83,3846500000,18446744073709551615
138.94,3847000000,18446744073709551615
139.06,3847500000,18446744073709551615
139.18,3848000000,18446744073709551615
139.29,3848500000,18446744073709551615
139.4,3849000000,18446744073709551615
139.52,3849500000,18446744073709551615
139.63,3850000000,18446744073709551615
139.75,3850500000,18446744073709551615
139.87,3851000000,18446744073709551615
139.98,3851500000,18446744073709551615
140.1,3852000000,18446744073709551615
140.21,3852500000,18446744073709551615
140.33,3853000000,18446744073709551615
140.44,3853500000,18446744073709551615
140.56,3854000000,18446744073709551615
140.67,3854500000,18446744073709551615
140.79,3855000000,18446744073709551615
140.9,3855500000,18446744073709551615
141.02,3856000000,18446744073709551615
141.13,3856500000,18446744073709551615
141.25,3857000000,18446744073709551615
141.36,3857500000,18446744073709551615
141.48,3858000000,18446744073709551615
141.59,3858500000,18446744073709551615
141.71,3859000000,18446744073709551615
141.82,3859500000,18446744073709551615
141.94,3860000000,18446744073709551615
142.05,3860500000,18446744073709551615
142.17,3861000000,18446744073709551615
142.28,3861500000,18446744073709551615
142.4,3862000000,18446744073709551615
142.51,3862000000,18446744073709551615
143.04,3862000000,2343750
143.56,3862000000,2459016
144.09,3862000000,2727272
144.61,3862000000,2542373
145.13,3862000000,2631579
145.66,3862000000,2307692
146.18,3862000000,2459016
146.71,3862000000,2500000
147.23,3862000000,2586207
147.75,3862000000,2586207
148.28,3862000000,2542373
148.8,3862000000,2542373
149.33,3862000000,2459016
149.85,3862000000,2380952
150.37,3862000000,2343750
150.9,3862000000,2459016
151.42,3862000000,2380952
151.95,3862000000,2419354
152.47,3862000000,2884615
153.0,3862000000,2419354
153.52,3862000000,2083333
154.04,3862000000,2542373
154.57,3862000000,2500000
155.09,3862000000,2631579
155.62,3862000000,2586207
156.14,3862000000,2678571
156.67,3862000000,2586207
157.19,3862000000,2343750
157.71,3862000000,2380952
158.24,3862000000,2419354
158.76,3862000000,2459016
159.29,3862000000,2419354
159.81,3862000000,2419354
160.34,3862000000,2459016
160.86,3862000000,2542373
161.38,3862000000,2542373
161.91,3862000000,2586207
162.43,3862000000,2542373
162.96,3862000000,2678571
163.48,3862000000,2631579
164.01,3862000000,2586207
164.53,3862000000,2631579
165.06,3862000000,2631579
165.58,3862000000,2727272
166.1,3862000000,2727272
166.63,3862000000,2678571
167.15,3862000000,2586207
167.68,3862000000,2727272
168.2,3862000000,2678571
168.72,3862000000,2727272
169.25,3862000000,2727272
169.77,3862000000,2678571
170.3,3862000000,2678571
170.82,3862000000,2678571
171.35,3862000000,2727272
171.87,3862000000,2777777
172.4,3862000000,2727272
172.92,3862000000,2727272
173.44,3862000000,2631579
173.97,3862000000,2727272
174.49,3862000000,2727272
175.02,3862000000,2727272
175.54,3862000000,2727272
176.07,3862000000,2678571
176.59,3862000000,2586207
177.12,3862000000,2586207
177.64,3862000000,2542373
178.16,3862000000,2631579
178.69,3862000000,2678571
179.21,3862000000,2678571
179.74,3862000000,2542373
180.26,3862000000,2500000
180.78,3862000000,2586207
181.31,3862000000,2586207
181.83,3862000000,2586207
182.36,3862000000,2586207
182.88,3862000000,2459016
183.41,3862000000,2459016
183.93,3862000000,2586207
